epoch,loss,accuracy,val_loss,val_accuracy
1,0.9490083241262915,0.5697531944687555,0.7711951947212219,0.6778269109286166
2,0.7464232340704795,0.7197619464379486,0.6946052640676499,0.7428932406822489
3,0.6657536119722122,0.7610712410292316,0.6087022316455841,0.8117498420720152
4,0.5903038714268354,0.7937160861193768,0.6934389102458954,0.693619709412508
5,0.563002294293662,0.7997549448625941,0.639967976808548,0.8464939987365762
6,0.5106282749489033,0.8300367582706109,0.593247267305851,0.7927984838913456
7,0.48956120621891663,0.832224750568878,0.5376654395461082,0.8111181301326595
8,0.4457154822582639,0.8522667600210048,0.652261700630188,0.7795325331648768
9,0.4297468248109578,0.8520917206371433,0.578275318145752,0.8597599494630449
10,0.37869760412826886,0.8714335725538246,0.5457332611083985,0.8471257106759318
11,0.38256015494340956,0.8630316821284789,0.5280181750655174,0.8275426405559065
12,0.34742329207212563,0.8784351479082794,0.5662174281477929,0.8161718256475048
13,0.34103378020851305,0.8783476282163487,0.7349762496352196,0.7915350600126342
14,0.33770759722124266,0.8821109749693681,0.630656653046608,0.8408085912823753
15,0.3238293087245199,0.8883248730964467,0.6763127294182777,0.8098547062539482
16,0.3070922851999545,0.8874496761771399,0.6928891077637672,0.7902716361339229
17,0.2784627088496472,0.8955890075266935,0.6284007334709167,0.8528111181301327
18,0.2610216994129912,0.9047785751794154,0.6408481556177139,0.8325963360707518
19,0.27372782219555125,0.9026781025730789,0.7256348367780447,0.8528111181301327
