epoch,loss,accuracy,val_loss,val_accuracy
1,0.9430436038271675,0.5487484684053913,0.850505119562149,0.5142135186355022
2,0.7320883242236502,0.6811657622965167,1.7507820618152619,0.6279216677195198
3,0.6402591472314723,0.7463679327848766,1.5398012459278108,0.819330385344283
4,0.5598505398248161,0.7813758095571504,0.7851853495836258,0.5824384080859129
5,0.5115620668082597,0.7996674251706634,1.20044229388237,0.7643714466203412
6,0.46619437364393107,0.8249606161386311,1.437222936153412,0.3708149084017688
7,0.4207088182466989,0.8449151058988272,2.4501727557182313,0.6152874289324068
8,0.4098057786221278,0.8506038858743217,1.8539357054233552,0.457991156032849
9,0.390300392990089,0.8490285314195694,0.6605094814300537,0.8041692987997473
10,0.35223273251871656,0.8669700682653597,0.7668641656637192,0.7012002526847757
11,0.3189495660146105,0.8783476282163487,0.8313654614984989,0.8761844598862919
12,0.31973029937407826,0.8819359355855068,0.9270794522762299,0.7460518003790272
13,0.32503484540187116,0.8834237703483284,9.032220606803895,0.52179406190777
14,0.3161987805499711,0.8817608962016453,1.484187082052231,0.5868603916614024
15,0.2784982000076987,0.896551724137931,1.835175583511591,0.8578648136449779
16,0.29122441434743684,0.8956765272186242,0.6244423317909241,0.8445988629185092
17,0.26696205746861146,0.9084544022405041,0.9500593680143357,0.8660770688566014
18,0.2718495369821204,0.9000525118151584,2.7585776422917845,0.8547062539481997
19,0.2678446762430268,0.9018904253457027,2.1468407988548277,0.5319014529374605
20,0.2486055664400773,0.9059163311745143,0.8095426928997039,0.6209728363866077
21,0.2358394854093314,0.9137055837563451,1.119638527929783,0.8243840808591283
