epoch,loss,accuracy,val_loss,val_accuracy
1,0.8522151526916959,0.7155610012252757,4.56688012599945,0.44535691724573595
2,0.6486312018176696,0.836950813933135,0.936089134812355,0.786481364497789
3,0.5082164802614537,0.8748468405391213,0.7259798982739448,0.8660770688566014
4,0.457081083369613,0.8972518816733766,0.9714144372940063,0.8325963360707518
5,0.4103453169842173,0.9137931034482759,1.0714301043748855,0.8774478837650032
6,0.3564715165145404,0.9260458603185717,0.9925542491674423,0.886923562855338
7,0.324370155449145,0.9358480658148083,0.9976562248170375,0.8894504106127605
8,0.3135901061537046,0.9433747593208472,1.684876611661166,0.8957675300063171
9,0.2500977872619822,0.950638893751094,0.6493374148756266,0.8622867972204674
10,0.2192873780136959,0.9566777524943112,1.0953691964410246,0.8913455464308275
11,0.21156590361429076,0.9607036583231227,1.1659299301356076,0.8938723941882502
12,0.18342496595844918,0.9669175564502013,1.413748894361779,0.8938723941882502
13,0.1913736258651645,0.9694556275161912,0.9874118001759052,0.8452305748578648
14,0.14726628188314383,0.9737440924207946,1.8100798091851176,0.8970309538850284
15,0.14063967014246687,0.9740066514965867,1.3399637392163277,0.8982943777637398
16,0.1108035894521179,0.9789077542447051,1.7295621998980641,0.9001895135818067
17,0.12605515555881858,0.9787327148608437,1.2954973821062594,0.8875552747946936
18,0.10513795976294205,0.9825835813057938,1.3745554375555367,0.8913455464308275
19,0.1229735621967868,0.9814458253106949,1.8842327813943849,0.9001895135818067
20,0.08727944726869073,0.9845965342201995,1.5849299857486039,0.897662665824384
21,0.0744690973393446,0.9865219674426746,1.7383038137527183,0.8875552747946936
22,0.06439068599333518,0.9867845265184667,2.027060577869415,0.8963992419456728
23,0.08493714381770917,0.9862594083668825,1.6717202164279297,0.8919772583701832
24,0.05776732045878766,0.9872221249781201,2.011233019158244,0.8957675300063171
25,0.06439688858119563,0.9881848415893576,2.141395015921444,0.8951358180669615
26,0.065734516410905,0.990022755119902,1.6564963331399485,0.8913455464308275
